,Unnamed: 0,AFFGEOID,ALAND,AWATER,CD114FP,CDSESSN,GEOID,LSAD,STATEFP,AreaUncert,CvxHullPS,CvxHullPT,CvxHullPTB,HoleCount,PolsbyPopp,PolyCount,ReockPS,ReockPT,ReockPTB,Schwartzbe,areaAH,perimSH
338,338,5001400,1730872501,86459561,4,114,2504,C2,25,2513793.5,0.6484678517,0.6484678517,0.6773044613,0.0,0.1720824241,1.0,0.3730523258,0.3730523258,0.4674470067,0.41482818619999995,1817380441.9976165,364300.3591718715
339,339,5001400,14840774817,94924656,9,114,4209,C2,42,2105400.5,0.6616400194,0.6616400194,0.6617374745,0.0,0.1396421969,1.0,0.3708491971,0.3708491971,0.5709502359,0.37368729829999997,14935331717.79578,1159321.8791371991
340,340,5001400,17878855764,5089870747,6,114,5306,C2,53,5402832.0,0.8169047051,0.7910517148,0.9340738313,0.0,0.11634724,14.0,0.5138826677,0.4797317331,0.8262437617,0.3410971122,18332031882.823044,1407123.4195813695
341,341,5001400,2330128389,619956529,3,114,3403,C2,34,12125899.5,0.6936881540000001,0.6003267861,0.6067016787,0.0,0.2762549648,2.0,0.4587990741,0.44617905560000004,0.424391718,0.5255996239999999,2539913144.837289,339906.3820654596
342,342,5001400,377328407,282589732,48,114,648,C2,6,2780962.5,0.6985862617,0.6985862617,0.7476345994,0.0,0.1902932906,1.0,0.1954304769,0.1954304769,0.3284581096,0.436226192,386264948.8816972,159711.3733571578
343,343,5001400,4378760030,30951865,25,114,625,C2,6,0.0,0.6898696795999999,0.6898696795999999,0.6898680376999999,0.0,0.2268768013,1.0,0.36511803229999995,0.36511803229999995,0.36169464939999996,0.4763158629,4410492476.832116,494257.6837248203
344,344,5001400,51543589873,444586815,8,114,2908,C2,29,2242744.5,0.8118333356,0.8118333356,0.9438217613,0.0,0.36304842789999997,1.0,0.5833984334000001,0.5833984334000001,0.8909541769,0.6025350014,51990382094.695206,1341479.8585464628
345,345,5001400,5884524481,76565092,12,114,3912,C2,39,0.0,0.617582284,0.617582284,0.6175783434000001,0.0,0.14531496130000002,1.0,0.31446354379999997,0.31446354379999997,0.314026786,0.3812019954,5961066637.7275505,717979.0218618375
346,346,5001400,1218123124,68645344,3,114,903,C2,9,2868994.0,0.6785565306,0.6791438965000001,0.7459216997,0.0,0.2100081534,2.0,0.35514200009999997,0.3555891799,0.4782568746,0.4582664655,1259828098.8717458,274563.30831400177
347,347,5001400,31758345975,431494396,2,114,1902,C2,19,2270609.0,0.7345762475,0.7345762475,0.8221002075,0.0,0.34612032859999997,1.0,0.3161580364,0.3161580364,0.4643243707,0.5883199203,32189798967.484737,1081061.7726401712
348,348,5001400,1943097018,1597472727,19,114,1219,C2,12,5085704.5,0.5898278331,0.5357461141,0.7507341346999999,0.0,0.1255563937,4.0,0.2284739785,0.2029494168,0.461756558,0.3543393764,2285696976.943464,478293.90036941
349,349,5001400,20212567211,154626758,15,114,4815,C2,48,4969475.5,0.5209515993,0.5209515993,0.521180041,0.0,0.1264699616,1.0,0.1469334912,0.1469334912,0.1956562577,0.3556261543,20370626378.268494,1422700.323691052
350,350,5001400,352103956,5012017,30,114,630,C2,6,0.0,0.6523890195000001,0.6523890195000001,0.6524131238,0.0,0.2060524452,1.0,0.3342756653,0.3342756653,0.33650439020000006,0.4539300003,357103741.61227083,147575.15432032052
