,state_id,seat_id,d_votes,r_votes,other_votes,d_vote_share,r_vote_share,other_vote_share,d_won,r_won,other_won
273,NY,8,175140,36873,0,0.8260814195355946,0.17391858046440548,0.0,1,0,0
274,NY,9,170898,36847,1947,0.8149953264788357,0.17571962688133072,0.00928504663983366,1,0,0
275,NY,10,120273,52842,2156,0.6862116379777602,0.3014874109236554,0.012300951098584478,1,0,0
276,NY,11,99224,136382,0,0.4211437739276589,0.5788562260723411,0.0,0,0,0
277,NY,12,153815,37973,2732,0.7907413119473576,0.19521385975735142,0.014044828295290973,1,0,0
278,NY,13,179589,16787,2747,0.9018998307578733,0.08430467600427877,0.013795493237847962,1,0,0
279,NY,14,105455,46877,1042,0.6875676451028205,0.30563850457052694,0.0067938503266524964,1,0,0
280,NY,15,136471,18198,0,0.8823422922499013,0.1176577077500986,0.0,1,0,0
281,NY,16,161730,0,33608,0.8279495029128997,0.0,0.1720504970871003,1,0,0
282,NY,17,136185,100237,15232,0.5411596875074507,0.39831276276156946,0.06052754973097984,1,0,0
283,NY,18,138923,128882,2505,0.5139395508860197,0.47679331138322667,0.009267137730753579,0,0,0
284,NY,19,151493,137229,7466,0.511475819411995,0.4633172174429754,0.025206963145029508,0,0,0
285,NY,20,162189,124349,96,0.5658400608441427,0.43382501726940975,0.0003349218864475254,1,0,0
286,NY,21,92621,166561,11,0.35734375542549374,0.642613805156775,4.243941773118873e-05,0,1,0
287,NY,22,115158,141043,5655,0.43977606012464865,0.5386281009409752,0.021595838934376145,0,0,0
288,NY,23,100201,166525,3124,0.37132110431721327,0.6171020937557903,0.011576801926996479,0,1,0
289,NY,24,119475,178971,11352,0.38565452327000177,0.5777022446884744,0.03664323204152383,0,0,0
290,NY,25,133500,113557,3982,0.5317898812535105,0.4523480415393624,0.01586207720712718,1,0,0
291,NY,26,170259,82301,3542,0.6648093337810717,0.321360239279662,0.013830426939266387,1,0,0
292,NY,27,111174,206671,4176,0.34523835402039,0.641793547625776,0.012968098353834067,0,1,0
293,OH,1,166061,193637,13099,0.44544618116562096,0.5194167335037567,0.0351370853306223,0,1,0
294,OH,2,140000,217405,87,0.39161715506920436,0.608139482841574,0.000243362089221577,0,1,0
295,OH,3,217332,90474,0,0.7060681078341553,0.2939318921658447,0.0,1,0,0
296,OH,4,99663,231284,9436,0.2927966437806824,0.6794816427377396,0.027721713481578106,0,1,0
297,OH,5,118245,251713,0,0.3196173619708183,0.6803826380291816,0.0,0,1,0
298,OH,6,84237,243540,0,0.25699484710641685,0.7430051528935832,0.0,0,1,0
299,OH,7,100027,231246,11205,0.29206839563417214,0.6752141743411255,0.032717430024702315,0,1,0
300,OH,8,108244,241503,54,0.30944451273724205,0.6904011137761185,0.0001543734866395465,0,1,0
